Courier Partner,Couriers,Mode,Min weight,Max weight,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,COD Amount,COD Percentage,DPH Divisor 
Shree-Maruti,Shree-Maruti Surface,RTO,2001,3000,67.86,84.24,107.64,128.7,182.52,182.52,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,3001,4000,93.6,115.7,144.3,176.8,243.1,243.1,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,3001,4000,84.24,104.13,129.87,159.12,218.79,218.79,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,4001,5000,105.3,136.5,163.8,198.9,278.2,278.2,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,4001,5000,94.77,122.85,147.42,179.01,250.38,250.38,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,5001,6000,107.77,141.05,169.52,203.71,290.68,290.68,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,5001,6000,96.993,126.945,152.568,183.339,261.612,261.612,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,6001,7000,120.77,159.25,191.62,228.41,330.98,330.98,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,6001,7000,108.693,143.325,172.458,205.569,297.882,297.882,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,7001,8000,133.77,177.45,213.72,253.11,371.28,371.28,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,7001,8000,120.393,159.705,192.348,227.799,334.152,334.152,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,8001,9000,146.77,195.65,235.82,277.81,411.58,411.58,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,8001,9000,132.093,176.085,212.238,250.029,370.422,370.422,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,9001,10000,159.77,213.85,257.92,302.51,451.88,451.88,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,9001,10000,143.793,192.465,232.128,272.259,406.692,406.692,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,0,500,0,32.5,49.4,55.9,75.4,75.4,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,0,500,0,29.25,44.46,50.31,67.86,67.86,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,501,1000,0,57.2,92.3,102.7,135.2,135.2,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,501,1000,0,45.76,73.84,82.16,108.16,108.16,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,1001,1500,0,101.4,135.2,153.4,215.8,215.8,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,1001,1500,0,81.12,108.16,122.72,172.64,172.64,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,1501,2000,0,135.2,174.2,202.8,270.4,270.4,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,1501,2000,0,121.68,156.78,182.52,243.36,243.36,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,2001,3000,0,169,473.2,252.2,325,325,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,2001,3000,0,152.1,425.88,226.98,292.5,292.5,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,3001,4000,0,202.8,512.2,301.6,379.6,379.6,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,3001,4000,0,182.52,460.98,271.44,341.64,341.64,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,4001,5000,0,236.6,551.2,351,434.2,434.2,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,4001,5000,0,212.94,496.08,315.9,390.78,390.78,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,5001,6000,0,270.4,590.2,400.4,488.8,488.8,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,5001,6000,0,243.36,531.18,360.36,439.92,439.92,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,6001,7000,0,304.2,629.2,449.8,543.4,543.4,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,6001,7000,0,273.78,566.28,404.82,489.06,489.06,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,7001,8000,0,338,668.2,499.2,598,598,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,7001,8000,0,304.2,601.38,449.28,538.2,538.2,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,8001,9000,0,371.8,707.2,548.6,652.6,652.6,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,8001,9000,0,334.62,636.48,493.74,587.34,587.34,32.5,2,0
Shree-Maruti,Shree-Maruti Air,FWD,9001,10000,0,405.6,746.2,598,707.2,707.2,32.5,2,0
Shree-Maruti,Shree-Maruti Air,RTO,9001,10000,0,365.04,671.58,538.2,636.48,636.48,32.5,2,0
Amazon,Amazon Shipping Standard,FWD,0,500,28.6,31.2,36.4,39,59.8,59.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,0,500,26,28.6,32.5,35.1,53.3,53.3,30,2,0
Amazon,Amazon Shipping Standard,FWD,501,1000,48.1,53.3,61.1,66.3,88.4,88.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,501,1000,42.9,48.1,54.6,59.8,79.3,79.3,30,2,0
Amazon,Amazon Shipping Standard,FWD,1001,1500,67.6,75.4,85.8,93.6,117,117,30,2,0
Amazon,Amazon Shipping Standard,RTO,1001,1500,61.1,67.6,76.7,84.5,105.3,105.3,30,2,0
Amazon,Amazon Shipping Standard,FWD,1501,2000,87.1,97.5,110.5,120.9,145.6,145.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,1501,2000,78,88.4,100.1,109.2,131.3,131.3,30,2,0
Amazon,Amazon Shipping Standard,FWD,2001,2500,106.6,119.6,135.2,148.2,174.2,174.2,30,2,0
Amazon,Amazon Shipping Standard,RTO,2001,2500,96.2,107.9,122.2,133.9,157.3,157.3,30,2,0
Amazon,Amazon Shipping Standard,FWD,2501,3000,126.1,141.7,159.9,175.5,202.8,202.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,2501,3000,113.1,127.4,144.3,158.6,182,182,30,2,0
Amazon,Amazon Shipping Standard,FWD,3001,3500,145.6,163.8,184.6,202.8,231.4,231.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,3001,3500,131.3,146.9,166.4,182,208,208,30,2,0
Amazon,Amazon Shipping Standard,FWD,3501,4000,165.1,185.9,209.3,230.1,260,260,30,2,0
Amazon,Amazon Shipping Standard,RTO,3501,4000,148.2,167.7,188.5,206.7,234,234,30,2,0
Amazon,Amazon Shipping Standard,FWD,4001,4500,184.6,208,234,257.4,288.6,288.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,4001,4500,166.4,187.2,210.6,231.4,260,260,30,2,0
Amazon,Amazon Shipping Standard,FWD,4501,5000,204.1,230.1,258.7,284.7,317.2,317.2,30,2,0
Amazon,Amazon Shipping Standard,RTO,4501,5000,183.3,206.7,232.7,256.1,286,286,30,2,0
Amazon,Amazon Shipping Standard,FWD,5001,5500,222.3,250.9,284.7,310.7,345.8,345.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,5001,5500,200.2,226.2,256.1,279.5,310.7,310.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,5501,6000,222.3,250.9,284.7,310.7,345.8,345.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,5501,6000,200.2,226.2,256.1,279.5,310.7,310.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,6001,6500,240.5,271.7,310.7,336.7,374.4,374.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,6001,6500,217.1,244.4,279.5,302.9,336.7,336.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,6501,7000,240.5,271.7,310.7,336.7,374.4,374.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,6501,7000,217.1,244.4,279.5,302.9,336.7,336.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,7001,7500,258.7,292.5,336.7,362.7,403,403,30,2,0
Amazon,Amazon Shipping Standard,RTO,7001,7500,232.7,263.9,302.9,326.3,362.7,362.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,7501,8000,258.7,292.5,336.7,362.7,403,403,30,2,0
Amazon,Amazon Shipping Standard,RTO,7501,8000,232.7,263.9,302.9,326.3,362.7,362.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,8001,8500,276.9,313.3,362.7,388.7,431.6,431.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,8001,8500,249.6,282.1,326.3,349.7,388.7,388.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,8501,9000,276.9,313.3,362.7,388.7,431.6,431.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,8501,9000,249.6,282.1,326.3,349.7,388.7,388.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,9001,9500,295.1,334.1,388.7,414.7,460.2,460.2,30,2,0
Amazon,Amazon Shipping Standard,RTO,9001,9500,265.2,300.3,349.7,373.1,414.7,414.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,9501,10000,295.1,334.1,388.7,414.7,460.2,460.2,30,2,0
Amazon,Amazon Shipping Standard,RTO,9501,10000,265.2,300.3,349.7,373.1,414.7,414.7,30,2,0
Amazon,Amazon Shipping Standard,FWD,10001,10500,313.3,354.9,414.7,440.7,488.8,488.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,10001,10500,282.1,319.8,373.1,396.5,439.4,439.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,10501,11000,313.3,354.9,414.7,440.7,488.8,488.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,10501,11000,282.1,319.8,373.1,396.5,439.4,439.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,11001,11500,331.5,375.7,440.7,466.7,517.4,517.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,11001,11500,299,338,396.5,419.9,465.4,465.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,11501,12000,331.5,375.7,440.7,466.7,517.4,517.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,11501,12000,299,338,396.5,419.9,465.4,465.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,12001,12500,349.7,396.5,466.7,492.7,546,546,30,2,0
Amazon,Amazon Shipping Standard,RTO,12001,12500,314.6,357.5,419.9,443.3,491.4,491.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,12501,13000,349.7,396.5,466.7,492.7,546,546,30,2,0
Amazon,Amazon Shipping Standard,RTO,12501,13000,314.6,357.5,419.9,443.3,491.4,491.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,13001,13500,367.9,417.3,492.7,518.7,574.6,574.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,13001,13500,331.5,375.7,443.3,466.7,517.4,517.4,30,2,0
